Blog_ID,Author,Author_ID,Title,Publication_Date,Blog Text
U6ifKLkVDH,Daniel Williams,IdF82UCBqU,Incredible Life in the Future,1944-09-28,"You know you've gone @Apple overboard when you misread a @Yelp review as ""iPad Thai."" #fb"
E5JhphrTNs,Isabella Johnson,iNE17W6BjV,Incredible Story Beyond the Stars,1910-06-29,"Google Docs presentation makes PowerPoint weep, beg for mercy http://t.co/9rVHs6jk via @engadget #google #powerpoint #microsoft #haha"
L6aQbyHcfO,Logan Gonzalez,PXrwoMWubu,Fantastic Secret in the Future,1937-09-13,@Apple hits @Samsung in court again - http://t.co/l6brF3yB
cp4RJe4fgn,Grace Anderson,gJVLYN8S5q,Mysterious Life of the Ancient World,1965-05-05,"RT @supaluga: RT @modalnho: New mov: ""ショウケース@apple store 銀座"" 記録 / starring:ichiro_, REPEAT PATTERN, moda → http://t.co/u82a1Ivk"
b1IfTf5OBQ,Aiden Walker,d16kOFFjLE,Fantastic Life of the Ancient World,1969-07-04,#google 话，丫的只有你 #apple 会抄么，俺一样会抄。天下一大抄。
rozsPxKNoI,Frank Lee,djx5ZbN2uu,Magical Adventure in the Mountains,1974-01-22,"Microsoft OmniTouch, cuando cualquier superficie puede ser una ""pantalla táctil"" http://t.co/ZvZxxzUl #Microsoft #OmniTouch #evento"
BrKEfES12r,Emma Robinson,HodB4I7gKo,Mysterious Adventure in the Future,1949-08-07,#TeamFollowBack #TFB #MustFollow #MF #FollowNow #FN #FollowFriday #FF #IFB #Twitter #Follow @GabeMoormanLaw @AshliSeumanu953 @pamperedplay
mn9kNf863k,Mia Clark,Z1HZHcM8Wq,Fantastic Secret in the Mountains,1945-07-15,#twitter still not showin my mothafuckin #retweets . .
JZm3eMxXWZ,David Martinez,Uefb7pfH3s,Fantastic Story Beyond the Stars,1944-09-24,@Yesenia_Rivero puxi losiento deverdad q toy medio alejadoo de #twitter pero pronto estare al dia.. cuidate muxo. besitos a distancia bay!!!
pr7Y5NDo57,Olivia Martinez,y7Evulzjj9,Incredible Life of the Ancient World,1994-10-28,"@jackiestone1 yes! Tech peeps talk so much about algorithms, but tech should always tie back to people. @apple proves this #imediasummit"
luSnI7Qz5T,Charlotte Garcia,kJhfrRisgi,Mysterious Adventure Under the Sea,1922-12-13,The #iphone4s is  amazing. Siri's voice recognition is absolutely a step above previous attempts. Bravo @apple
g3iKwzVrTN,Ava Johnson,ScXiaxVtcr,Fantastic Journey in the Future,1988-12-02,RT @sanjeevgadre: #Ballmer says that #Microsoft dodged a bullet when it failed to acquire #Yahoo in 2008 | Wish 1 of my ex-employers was ...
zINlvmRd1H,Alice Johnson,srlXGGBVjm,Magical Journey of the Ancient World,1962-09-04,RT @ShawnWildermuth: OMFG: http://t.co/Rit4WJq3 #gates #ballmer #nightAtTheRoxbury #microsoft
bA1QygdKTd,Ethan Martinez,OEQB2stezb,Amazing Life in the Mountains,1938-03-01,@ParadoxicalMike yes... our is under lock and key... we are guarded by the mighty #Microsoft.... unlike #google with it's androids
j21BJOgeHt,Sophia Martinez,FS3Jt6ZFpR,Magical Adventure in the Mountains,1946-07-11,"#wheniwas14... @Apple registered the domain name http://t.co/FPvKn1kJ, thus beginning their plan for world domination"
QHEYlblM3X,Carol Garcia,RTzmr9HQIf,Incredible Adventure in the Future,2005-05-14,"[aa] , suavi bando de cornos & cornas , nun desejo boa noitte pra min , uma maldição pra voçs viciados en #Twitter , haha ++"
fcqZz8AfP9,Carol Moore,GDae4Fz0EW,Amazing Secret in the Future,1958-03-08,"Lo último y lo mejor de Windows 7, todo en un único lugar. http://t.co/RqnhMFaA #windows7 #microsoft"
omLEhgjtG2,Grace Miller,NWLF0VIKeI,Fantastic Life Beyond the Stars,1937-08-17,"RT @Surface: PC Podcast 39 (#GITEX, #Microsoft #Surface) | http://t.co/RsccE99M http://t.co/EyLVACYn
Hear the latest with @Surface from  ..."
